Number,Name,Account,Acc,,
1,Fridays For Future,@Fridays4Future,Fridays4Future,,
2,Greta Thunberg,@GretaThunberg,GretaThunberg,,
3,Xiye Bastida,@xiyebastida,xiyebastida,,
4,UN Environment Programme,@UNEP,UNEP,,
5,UN Environment Programme Europe,@UNEP_Europe,UNEP_Europe,,
6,Extinction Rebellion,@ExtinctionR,ExtinctionR,,
7,Greenpeace,@Greenpeace,Greenpeace,,
8,Sunrise Movement,@sunrisemvmt,sunrisemvmt,,
9,Intregovernmental Panel on Climate Change,@IPCC_CH,IPCC_CH,,
10,Green Climate Fund,@theGCF,theGCF,,
11,C40 Cities,@c40cities,c40cities,,
12,Earthwatch,@earthwatch_org,earthwatch_org,,
13,WILD Foundation,@WILDfoundation,WILDfoundation,,
14,European Environmental Bureau,@Green_Europe,Green_Europe,,
15,Green Aliance,@GreenAlianceUK,GreenAlianceUK,,
16,Scarlett Westbrook,@ScarlettOWest,ScarlettOWest,,
17,UN Climate Change,@UNFCCC,UNFCCC,,
18,Svein T veitdal,@tveitdal,tveitdal,,
19,Erik Solheim,@ErikSolheim,ErikSolheim,,
20,Joyce Msuya,@JoyceMsuya,JoyceMsuya,,
21,Dr. RIchard Munang,@RichardMunang,RichardMunang,,
22,Climate Adaption,@ClimateAdapt,ClimateAdapt,,
23,Terje Osmundsen,@OsmundsenTerje,OsmundsenTerje,,
24,Empower New Energy,@EmpowerNEnergy,EmpowerNEnergy,,
25,Planetary Security,@Planetary_Sec,Planetary_Sec,,
26,COP26,@COP26,COP26,,
27,Patricia Espinosa C.,@PEspinosaC,PEspinosaC,,
28,Climate Home News,@ClimateHome,ClimateHome,,
29,Climate Change Committee,@theCCCuk,theCCCuk,,
30,Carbon Brief,@CarbonBrief,CarbonBrief,,
31,Inside Climate News,@insideclimate,insideclimate,,
32,Climate Reality,@ClimateReality,ClimateReality,,
33,Al Gore,@algore,algore,,
34,Special Presidential Envoy John Kerry,@ClimateEnvoy,ClimateEnvoy,,
35,We Don't Have Time,@WeDontHaveTime,WeDontHaveTime,,
36,Ben See,@ClimateBen,ClimateBen,,
37,GO GREEN,@ECOWARRIORSS,ECOWARRIORSS,,
38,Climate Power,@ClimatePower,ClimatePower,,
39,Guardian Environment,@guardianeco,guardianeco,,
40,NYT Climate,@nytclimate,nytclimate,,
41,Yale Environment 360,@YaleE360,YaleE360,,
42,Yale Program on Climate Change Communication,@YaleClimateComm,YaleClimateComm,,
43,Climate Desk,@ClimateDesk,ClimateDesk,,
44,Climate Central,@ClimateCentral,ClimateCentral,,
45,Chris Stark,@ChiefExecCCC,ChiefExecCCC,,
46,Climate Assembly UK,@NetZeroUk,NetZeroUk,,
47,Climate Change US,@ClimateChangeUS,ClimateChangeUS,,
48,CBI climate change,@CBI_CC,CBI_CC,,
49,Greenpeace USA,@greenpeaceusa,greenpeaceusa,*This may have cross-retweet with Greanpeace. Can we also include some acconts of this kind?,
50,WRI Climate,@WRIClimate,WRIClimate,I think we'll filter out retweets anyway. Thus it should not matter,
51,UNDP Climate,@UNDPClimate,UNDPClimate,,
52,Climate Nexus,@ClimateNexus,ClimateNexus,,
53,Climate Action Network - International (CAN),@CANIntl,CANIntl,,
54,Farah MK,@Farah_mkma,Farah_mkma,,
55,Anna Kernahan,@AnnaKernahan,AnnaKernahan,,
56,Vanessa Nakate,@vanessa_vash,vanessa_vash,,
57,Parents For Future,@parents4future,parents4future,,
58,Alexandria Villaseñor,@AlexandriaV2005,AlexandriaV2005,,
59,Kate Aronoff,@KateAronoff,KateAronoff,,
60,350 dot org,@350,350,,
61,World Wildlife Fund,@World_Wildlife,World Wildlife Fund,,
62,Treehugger.com,@Treehugger,Treehugger,,
63,Johanna Nilsson,@voice4theplanet,voice4theplanet,,
64,FootPrint Coalition,@fp_coalition,fp_coalition,,
65,Shell,@Shell,Shell,oil,
66,ExxonMobil,@exxonmobil,exxonmobil,,
67,International Energy Agency,@IEA,IEA,,
68,Aldersgate Group,@AldersgateGrp,AldersgateGrp,,
69,German Environment Agency,@GermanEnvAgency,GermanEnvAgency,govt agency,
70,EU EnvironmentAgency,@EUEnvironment,EUEnvironment,,
71,Fondazione Cmcc,@CmccClimate,CmccClimate,,
72,Ørsted UK,@OrstedUK,OrstedUK,wind,
73,First Solar,@FirstSolar,FirstSolar,solar,
74,Canadian Solar,@Canadian_Solar,Canadian_Solar,,
75,MIRRECO,@Mirrecogroup,Mirrecogroup,carbon capture / storage,"often startups, not too many followers"
76,SeeO2 Energy,@Seeo2E,Seeo2E,,
77,Deep Branch,@DeepBranchBio,DeepBranchBio,,
78,Ocean-Based Climate Solutions,@based_ocean,based_ocean,,
79,Carbon Engineering Ltd.,@CarbonEngineer,CarbonEngineer,,bigger ones
80,Climeworks,@Climeworks,Climeworks,,