screen_name,followers_count,retweet_count,favorite_count,vader,threshold,text,Rel1,Sentiment1,Rel2,Sentiment2
c40cities,106474,0,3,0.934,1,"""C40 mayors continue to demonstrate the power of bold, creative leadership. Together, we share a vision for a green &amp; just recovery that prioritizes efforts to create green jobs, invest in crucial public services, protect mass transit &amp; support essential workers."" - @MayorOfLA",1,1,,
DeepBranchBio,498,1,13,0.957,1,"#Unlocked2020: Excited to share that we won @Rotterdamâ€™s 2020 Unlocked Challenge! Weâ€™re honoured to have our growth recognized alongside so many incredible companies. See more about the win and what it means to us here: 
@PortOfRotterdam #circularcarboneconomy #impactinvesting https://t.co/R7xvxFo4yX",0,,,
ScarlettOWest,5074,0,3,0.934,1,"@_evebennett thatâ€™s a really valid worry, but all forms of media are valuable! iâ€™m sure the articles you have written are incredible, and i know the saying is overused but itâ€™s definitely quality over quantity. itâ€™s really good that youâ€™re getting experience in different media types",0,,,
Shell,553814,0,2,0.94,1,@CEEWIndia @GhoshArunabha It was an absolute pleasure having @GhoshArunabha to share more on the future of energy in India. Thank you for being part of The Great Energy Debate. #EnergyDebate,1,1,1,1
JoyceMsuya,21141,0,4,0.956,1,"@EuMordue @eucopresident Warm congratulations @EuMordue on your new role with @eucopresident. 

Thank you for your leadership on the UNEP-EU partnership and your efforts to help strengthen environmental governance.

We will miss you and wish you all the best.",1,1,1,1
ChiefExecCCC,19501,0,1,0.963,1,"@jannikgiesekam @gasworksollie @Mike_Thommo HA HA HA HA HA!

Brilliant.",0,,0,0
voice4theplanet,228,0,0,0.969,1,@WoodlandDave Wow - thank you!!! I'm well impressed of your happy wishes on our special day! Thank you SO MUCH!,0,,0,
PEspinosaC,108140,3,12,0.943,1,<U+0001F1E6><U+0001F1F1> Congratulations Albania for submitting your instrument of acceptance to the Doha Amendment in the Kyoto Protocol. Great news to see more countries supporting this important multilateral instrument to advance #ClimateAction,1,1,1,1
PEspinosaC,108140,57,198,0.962,1,"<U+0001F1F0><U+0001F1F7> Fantastic news! The Republic of Korea joins a growing group of major economies committed to #NetZero by 2050. Thank you President @moonriver365 for your leadership! 

I urge all countries to follow this courageous example and I encourage all to submit ambitious #LTLEDS in 2020",1,1,1,1
PEspinosaC,108140,22,61,0.944,1,<U+0001F1F6><U+0001F1E6> Many thanks Qatar for accepting the Doha Amendment to the Kyoto Protocol. Very encouraged to see your commitment as we have now 147 Parties on board. An important signal support to multilateralism towards advancing #ClimateAction,1,1,1,1
PEspinosaC,108140,48,126,0.938,1,"<U+0001F1F8><U+0001F1F1> Thanks Sierra Leone, the latest nation to accept the Doha Amendment to the Kyoto Protocol. 
With 139 acceptances, we are now very close to bringing the 2nd commitment period of the Kyoto Protocol into force. Despite the crisis, we remain fully committed to #ClimateAction.",1,1,1,1
UNFCCC,786735,35,79,0.95,1,"<U+0001F399><U+FE0F>Interview

Applications for the 2021 @UN Global #ClimateAction awards are open until 30 April! Tune in as we talk to 2 former award winners about their projects &amp; what winning the climate action award meant to them.

<U+0001F4FA> https://t.co/zBmRsHO94j 
<U+0001F5D3><U+FE0F> 24 February
<U+23F0> 11am (CET) https://t.co/v3NDpLL3Gi",1,1,1,1
WILDfoundation,10616,0,0,0.94,1,"A bold and much needed commitment to protect 30% of US land and oceans by 2030. While science shows that 50% is the ideal target, we applaud this historic step in US policy. What we need now is a national call to action. Join the #survivalrevolution!
https://t.co/3cLovBeLV3",1,1,1,1
OrstedUK,14921,3,11,0.947,1,A huge congratulations and thank you to everyone  involved in making the virtual event such a success! You are all winners!! <U+0001F60D><U+0001F60D> https://t.co/23KpKTXV7w,0,,0,
theCCCuk,48148,54,90,0.958,1,"Achieving the UK's climate goals &amp; rebuilding the economy fit together. Actions we recommend will deliver better public health, improved biodiversity &amp; access to nature, cleaner air, more comfortable homes &amp; highly productive, rewarding employment. https://t.co/IS5wieVxQB https://t.co/2lefmIOyWo",1,1,1,1
OsmundsenTerje,24778,2,6,0.943,1,"AfDB launches $50m facility to support energy businesses in Africa https://t.co/XG7efTipnN 
""The $50 million blended finance initiative, will provide relief and recovery capital to energy access businesses, supporting them through and beyond the pandemic"" Great @AfDB_Group",1,1,1,1
UNFCCC,786735,71,143,0.949,1,"Africa's Great Green Wall is a great example of climate action with nature-based solutions. Ahead of today's #OnePlanetSummit, the African Development Bank pledged to mobilise $6.5 Billion in support of the Great Green Wall Initiative: https://t.co/yF2gIiS8GL https://t.co/qxOwzISJfA",1,1,1,1
Climeworks,8337,3,13,0.954,1,"Alex is our youngest climate pioneer yet. We're inspired by his engagement and hope many will follow his example. If you or someone you know is also a young climate pioneer, weâ€™d love to hear from you and share the inspiring work youâ€™re doing.
#YoungClimatePioneer #ClimateChange https://t.co/EK8SQfhiHq",1,1,,
JoyceMsuya,21141,4,49,0.957,1,"As a former Girl Guide, it was exciting to learn about the great work of the Girl Guides movement here in Kenya.

We are proud to be their partner on the plastic #TideTurners for #CleanSeas &amp; look forward to exploring further collaboration.
My sincere thanks for this opportunity. https://t.co/gh0qxwiz20",0,,1,1
FirstSolar,30923,1,4,0.937,1,"As leaders in corporate renewables and responsible solar, we are proud to support #RESource2020. Join us to learn more about how corporate renewable energy procurement is supporting the energy transition. 
#ResponsibleSolar 
https://t.co/C8uqFN9FxQ",1,1,1,1
OrstedUK,14921,1,5,0.939,1,"As well as opening up some fantastic future opportunities in an exciting industry, our apprenticeships are a great way to earn while you learn... #NAW2021 @Apprenticeships #Careers https://t.co/TLsYkhiLx8",0,,0,
Canadian_Solar,22445,4,13,0.939,1,"Canadian Solar Asset Management and GridSME are excited to announce their new partnership that helps foreign buyers of US solar assets achieve their National Security Agreement (NSA) from the Committee on Foreign Investment in the United States (CFIUS). 
https://t.co/IQ87zrp6Xx https://t.co/RVDkNQaYCa",1,1,1,1
JoyceMsuya,21141,1,6,0.971,1,"Celebrating great strides being taken #ForNature.<U+0001F44F>

With additional $14 billion funding, the Great Green Wall Initiative will boost food security, create jobs and be a symbol for peace.
 #OnePlanetSummit #GenerationRestoration
 
https://t.co/NQaWCihyf8",1,1,1,1
CarbonEngineer,6339,5,11,0.945,1,"Clean Fuel Standards (CFS) have been shown to encourage cleaner oil &amp; gas and alternative fuels, and create markets for tech like ours, which draw investment into the economy and creates jobs in clean energy. Learn about Canadaâ€™s CFS in this post by @MarkJaccard and @J__Moorhouse https://t.co/JKYfgcPkXt",1,1,,
YaleE360,132499,21,52,0.959,1,"Close to 200 Florida manatees were filmed in shallow water with dolphins. Due to their endangered status, this sight is uncommon, but environmentalists hope that imagery like this will inspire humans to be more kind to the environment. https://t.co/ZL9i4V0vqa (via @guardian)",1,1,1,1
ErikSolheim,145787,222,1493,0.95,1,"Congrats to Hyderabad!
Awarded status as #TreeCity in recognition of great work to green this beautiful megacity. Tree cover in state of Telengana, India <U+0001F1EE><U+0001F1F3> has increased by close to 4% in few years. Bravo!

https://t.co/2JkeWGl2ll https://t.co/Qxioa0TCkb",1,1,1,1
ClimateEnvoy,119877,118,896,0.967,1,Congratulations to @SecBlinken. He will be a superb leader committed to the men and women of the foreign and civil service. No one better to speak for the values and vision of his close friend @POTUS. He will always lead with Americaâ€™s best interests at heart.,0,,,
PEspinosaC,108140,13,60,0.977,1,"Congratulations to all the winners of the @UN Global #ClimateAction Awards! 

I am very happy to share these innovative, scalable &amp; practical initiatives from around the world. These awards recognise you as beacons guiding us towards a better future.

https://t.co/CSFBdOtGgL https://t.co/odvzrm51tE",1,1,1,1
JoyceMsuya,21141,12,67,0.942,1,"Congratulations to the 2020 @UNEP Young Champions of the Earth!

These innovators from around the world should give us all hope through their inspiring work #ForPeopleForPlanet.

We look forward to seeing the benefits their projects bring. 
#YoungChamps https://t.co/TjlSiFMPEJ",1,1,1,1
JoyceMsuya,21141,38,133,0.958,1,"Coral reefs support livelihoods worldwide &amp; protect our coastlines.

Great to have inaugural contribution of over USD 10 million to the Global Fund for Coral Reefs from @BMZ_Bund, Paul G. Allen Family Foundation &amp; @FPA2.
I encourage others to join the push to save this ecosystem. https://t.co/BIQWgENfVQ",1,1,1,1
Climeworks,8337,1,9,0.957,1,"Craving a dose of optimism and inspiration this holiday? Join the @airminers CARBY Awards, an open-to-all recognition of leaders in #carbondioxideremoval whose curiosity, resilience, and support of others can bring a future with a stable climate.
https://t.co/Iw65vOhBur",1,1,1,1
ClimateEnvoy,119877,157,853,0.965,1,Deeply grateful to have such a strong partner in @UN Secretary General @AntonioGuterres. Thank you for welcoming the United States back into the Paris Agreement and continuing to encourage countries around the world to work toward net zero emissions by 2050. https://t.co/RIgCtzaD4m,1,1,1,1
IEA,197182,21,31,0.95,1,"Energy Efficiency 2020 shows that major progress in efficiency is needed to reach energy &amp; climate goals <U+27A1><U+FE0F> https://t.co/f61UrURF5r

Explore historical efficiency data used to guide policy in our Energy Efficiency Indicators Database <U+27A1><U+FE0F> https://t.co/aL0Jkr2zr2 https://t.co/FH98XnI1v6",1,0,1,0
CBI_CC,13310,4,5,0.937,1,Excellent opportunity today to share the views from @CBItweets members about the #EnvironmentBill and thank you to @DefraGovUK for hosting. Businesses clearly backs the ambitions of the bill and its vision for a cleaner future. https://t.co/AkqgxtXg40,1,1,1,1
OrstedUK,14921,4,21,0.943,1,Fantastic opportunity for the UK to become a world leader in #Renewable #Hydrogen thanks to the #offshorewind success story so far! Don't forget we have a special webinar tomorrow showcasing our Gigastack project - places are limited sign up here https://t.co/goIwjxzgDb https://t.co/od5pixpAnm,1,1,1,1
ErikSolheim,145787,5,68,0.969,1,"Fantastic winter days at #Manshausen, northern Norway <U+0001F1F3><U+0001F1F4>. Nature is magic, architecture inspiring, young hosts most generous, food michelin style and ice bath, yes very cold. Such a wonderful place.  WOW! <U+0001F917> https://t.co/y9cktbKKgN",0,,0,
OrstedUK,14921,2,7,0.956,1,Good luck to all the bright young things up for awards at tonight's #YEPAwards20 Always impressed with the incredible array of talent each year - all working to make a real difference! Including our very own Mark Edwards - nominated in the #Diversity &amp; #Inclusion category! <U+0001F64C><U+0001F60D> https://t.co/l5dHtiGv3e,0,,0,
ClimateEnvoy,119877,94,563,0.937,1,Good opportunity to discuss our collective action in reaching the ambitious targets of the Paris Agreement with the @WEF today. We have reaffirmed our commitment-- we will do everything we can to meet or exceed our goals.,1,1,1,1
greenpeaceusa,210504,7,22,0.941,1,"Happy birthday, @obeygiant! Thank you for your creative and inspiring activism. So grateful we get to work with you! https://t.co/yFCktn4L44",0,,0,
CarbonEngineer,6339,1,3,0.936,1,Happy International Women's Day! Today we celebrate the contributions of the amazing women at Carbon Engineering and in our community as we progress commercialization of our Direct Air Capture technology. #IWD2020 #CarbonEngineering https://t.co/Vw9g7iwnN9,1,1,1,1
xiyebastida,17397,173,335,0.937,1,"Here it goes again, the full version this time! 

If you want to be an effective adult ally, the first step is to believe that we can have a better world
 
SHARE <U+2764><U+FE0F> SHARE <U+2764><U+FE0F> SHARE

Letâ€™s build this future together

@2040Film @CFigueres

 https://t.co/4WTxbULWJa",0,,,
algore,3057070,27,205,0.937,1,"I am now live, sharing a meal with @carlahall and Jayna Green, the winner of the 2020 @4h Youth In Action Pillar Award for Agriculture. We are going to discuss why food justice matters at this important time. Tune in here: https://t.co/579sW5yybP https://t.co/zJeBi2bKdr",0,,0,
algore,3057070,36,157,0.978,1,"I love this song! Check out and download this brilliantly creative new video from @okgo, and help support a great cause! 100% of profits go to @PIH working to care for the most vulnerable right now. https://t.co/73SQMAllvG",0,,0,
xiyebastida,17397,24,146,0.979,1,"I want to immensely thank Life City for inviting me to the Love Your City Awards and having me speak about the youth climate movement!

This is an amazing initiative that awards local companies and businesses that excel in climate justice work! Every city should have these!! <U+2764><U+FE0F><U+0001F343> https://t.co/5FnqvlRvbh",1,1,1,1
oof,9668,0,1,0.971,1,I was born in the new year amp Iâ€™m my best friends and family and I have a great job and Iâ€™m glad to see that it was my best friends.,0,,,
JoyceMsuya,21141,8,41,0.951,1,"Iâ€™m pleased to show my appreciation for this great team of colleagues and for all young people across @UNEP. 

Their energy, dedication &amp; innovation is so key for our work towards a better future for all. https://t.co/iHASC3FaZ3",1,1,,
algore,3057070,125,999,0.952,1,"Iâ€™ve always had the utmost respect for Ross Perot, for his patriotism, love of country, and extraordinary commitment to our veterans. I send my deepest condolences to his family and to everyone who loved and admired him.",0,,,
OrstedUK,14921,0,2,0.967,1,"If you do one thing today make sure it's watching this video... It shows exactly why we love, respect &amp; support the amazing work of @RNLI - thank you to all of your crews around the UK for being true life savers! <U+0001F60D><U+0001F60D> https://t.co/0oxlAYeTXN",0,,0,
JoyceMsuya,21141,7,29,0.939,1,"In this time of physical distance, community connections are vital to deepen engagement &amp; action together.

The virtual SDG<U+0001F1FA><U+0001F1F3> Festival of Action is a chance to share knowledge &amp; strengthen networks to help achieve the #GlobalGoals.
https://t.co/hz9D5boRz4 
https://t.co/91TnKckQJR",0,,1,1
IEA,197182,1,7,0.952,1,"Indiaâ€™s ability to ensure secure &amp; sustainable energy for its growing population will be vital for its economy and for global energy &amp; climate trends.

India Energy Outlook 2021 offers key insights on what <U+0001F1EE><U+0001F1F3>â€™s long-term energy future may look like <U+27A1><U+FE0F> https://t.co/mHyeTUViOz https://t.co/Zx91qCPLeL",1,0,,
OsmundsenTerje,24778,0,2,0.943,1,Invention that makes renewable energy from rotting veg wins James Dyson prize https://t.co/HOCUrPYZSb A novel material made from rotting fruit and vegetables that absorbs stray UV light from the sun and converts it into renewable energy  landed  sustainability award,1,1,1,1
PEspinosaC,108140,97,221,0.936,1,"It is with great pleasure that I announce that the #DohaAmendment will successfully enter into force 31 December 2020 <U+0001F30D> With 144 Parties now having ratified the amendment, the conditions to enter into force of the Doha Amendment have been met. 1/6",1,1,1,1
algore,3057070,181,712,0.947,1,"Join me in supporting @Evangelicals4JB. Joe Biden is a man of character and faith, committed to protecting our planet for future generations. EFB has succeeded in winning back key voters who share that mission. https://t.co/4K8f4mPp8T",1,1,1,1
algore,3057070,45,519,0.981,1,"Koni was a great father, a great teacher, a great scientist, a great friend, and a truly great man. 2/2",0,,0,
Climeworks,8337,3,5,0.956,1,"Letâ€™s make this Christmas climate positive!Â This year we would like to inspire everyone to do something good for our planet. Surprise your loved ones with a sustainable gift and remove CO2Â from the air at the same time!Â 
https://t.co/pMmvUlOFf8
#christmasgift #climateaction",1,1,,
Green_Europe,32632,13,19,0.954,1,"Meet the champions of repair! <U+0001F9D1><U+200D><U+0001F527><U+0001F527>
We interviewed heroes working to help others to save money while helping save the planet <U+0001F447>

@R2REurope #ClimateOfChange 

https://t.co/AbivCfuUje",1,1,1,1
algore,3057070,92,358,0.937,1,Minister Koizumi's leadership to review Japanâ€™s support for coal is a significant and positive step. Japan should change its coal export credit policy and increase its ambition to reduce global warming emissions. This is a pivotal leadership opportunity for Japan. https://t.co/Osd8VNdTfg,1,1,,
JoyceMsuya,21141,19,111,0.948,1,"Most #UNEA5 participants are online but weâ€™re also happy to welcome some Nairobi-based diplomats in person, too.

Wherever you are, you may join in by sharing your thoughts #fornature in this online poll: https://t.co/l7BqohWWjB https://t.co/EWiilHLQU7",1,1,,
PEspinosaC,108140,10,76,0.961,1,"My heartfelt congratulations to the new Director-General of @wto @NOIweala. 

Your experience and proven vision on climate change make me confident of our successful collaboration towards the full and effective implementation of the #ParisAgreement.",1,1,1,1
PEspinosaC,108140,44,137,0.944,1,"My key message during the briefing on expectations for #COP26:

We must demonstrate our determination to make COP26 a success. And we need to make progress virtually until we can meet in person.

@UNFCCC stands ready to support all Parties in their efforts to achieve this.",1,0,1,1
IEA,197182,5,12,0.955,1,"Natural gas prices in Asia have soared to record highs, underscoring the need for better functioning &amp; more resilient markets.

Our latest commentary explores how to improve markets' flexibility, which is vital as clean energy transitions progress <U+27A1><U+FE0F> https://t.co/cB0ZmRSnoV https://t.co/P6yxhernMq",1,1,1,0
WILDfoundation,10616,0,0,0.956,1,"Oceanographic Magazine's Photography Awards, showcase the beauty of ocean life- and hopefully will inspire others to join conservation efforts! Which photo submission is your favorite? 
#survivalrevolution #carbonneutralnaturepositive
https://t.co/GwJ4QUIHHl",1,1,1,1
exxonmobil,326103,5,41,0.965,1,"Our Black Employee Success Team gives all employees the opportunity to be their BEST through their recruiting, mentorship, leadership development, management engagement and community outreach. We celebrate their achievements this #BlackHistoryMonth and every day. https://t.co/QgFHEXkgX8",0,,0,
Mirrecogroup,226,1,1,0.935,1,"Our vision of large scale hemp-built communities is attracting global interest.

Credit to @modernghanaweb &amp; Kofi Thompson.

https://t.co/Aym41eHiUJ

#hemp #renewable #sustainability #embodiedcarbon #environment #technology #innovation #energy #passive #climatechange #housing https://t.co/DqpDx2z4Re",1,1,1,1
CarbonEngineer,6339,6,14,0.939,1,"Passionate about climate change solutions and interested in following Carbon Engineering's progress? Join our supporter list and you will receive a newsletter with company updates, media coverage, interesting reading suggestions and more. #DirectAirCapture https://t.co/b2G4lspZa3",1,0,1,0
ChiefExecCCC,19501,27,55,0.942,1,"Please have a look at our amazing new data tool, which allows you to explore the UK emission scenarios in huge depth. 

Link I tweeted to this yesterday is broken. A great reason to tweet about it all over again.

Enjoy. We had fun making it. 
@theCCCuk

https://t.co/OmMLAzo1ft",1,1,1,1
GermanEnvAgency,1470,1,3,0.949,1,"Protection from hazardous #chemicals must be strengthened â€“ through effective, inspiring &amp; innovative policies. 55 nominees are on the path to win the #FuturePolicyAward 2021 (supported by UBA). Learn more: https://t.co/ZX9IVweS6M",1,1,,
WILDfoundation,10616,0,0,0.934,1,"Read, ""The Story for Our Future"" below! World Wilderness Congress 11 was postponed, but we cannot afford to hold off on acting to save wilderness. Framed as a narrative story, learn where you fit and what role you can play to help enact these policies. https://t.co/Y1bvXW1Or4",1,1,,
PEspinosaC,108140,34,104,0.955,1,"Remarkable! With true Usain Bolt speed <U+0001F45F><U+0001F4A8>, Jamaica <U+0001F1EF><U+0001F1F2> accepted the Doha amendment to the Kyoto Protocol. Thank you @AndrewHolnessJM and @CcdJamaica! With 143 parties ratification, it is only one more to go to bring the amendment into force. #ClimateAction",1,1,1,1
OrstedUK,14921,13,19,0.962,1,"Renewable Energy is crucial in the fight against #ClimateChange A diverse range of future talent will be needed to build on the success story so far. We're giving unique access and insight to the #offshorewind industry to help inspire, support and develop emerging new talent... https://t.co/wKA434ycaZ",1,0,1,1
JoyceMsuya,21141,17,57,0.938,1,"Strong leadership for sustainable agriculture like yours is key for a green pandemic recovery &amp; #fornature. 

Congratulations and best wishes for your continued work for the #globalgoals &amp; the #AfricaWeWant. https://t.co/3E1jMLUnCo",1,1,1,1
earthwatch_org,14275,0,3,0.958,1,"Thank you for your support during this unprecedented crisis. Wishing you and yours a healthy and happy holiday season and brighter days ahead.

Gratefully, Your Friends at Earthwatch https://t.co/RAH8zLCPjU",0,,0,
CarbonEngineer,6339,0,10,0.949,1,"Thanks for sharing this story @andrew_leach. It's great to hear that our work can play a part in inspiring the world's next generation, and can help bring #DirectAirCapture to life for them. https://t.co/XBLuQtMdXT",1,1,1,1
UNEP_Europe,23082,6,28,0.961,1,"The #Carpathian mountains host a very rich diversity of fauna and flora, yet face numerous threats. We are honoured that the Transgreen project has won a Natura 2000 prize, &amp; proud to work with partners for the precious #mountains! https://t.co/9Ax49eyeAk https://t.co/3U1TDqFpVj",1,1,1,1
JoyceMsuya,21141,15,90,0.947,1,"The @UNEP Young Champions of the Earth prize breathes life into the ambitions of brilliant young environmentalists.

The 2020 #YoungChamps winners will be announced tomorrow - get to know the finalists and their inspiring work #ForNature: https://t.co/EZgo7iqArP https://t.co/1YXpo0s705",1,1,1,1
theCCCuk,48148,7,21,0.938,1,"The actions recommended by the CCC will also deliver better public health, improved biodiversity and access to nature, cleaner air, more comfortable homes and productive, rewarding employment. (14/15) https://t.co/mth9VoN7Lp",1,1,1,1
IEA,197182,10,20,0.957,1,"The clean energy technologies we will need tomorrow hinge on innovation today.

Quicker progress towards net-zero emissions will depend on rapid innovation in electrification, hydrogen, bioenergy and CCUS. 

Read more on clean energy innovation <U+0001F449> https://t.co/ceyBSIIAcw https://t.co/hPRV3Fmv32",1,0,1,0
JoyceMsuya,21141,15,63,0.962,1,"The Ozone Secretariat has launched an innovative educational platform, #ResetEarth, to help sustain the protection of the ozone layer through informing &amp; engaging young people.

Encouraging to see such creative efforts to spark positive action!
https://t.co/uNHOpmHRdc",1,1,1,1
OrstedUK,14921,5,10,0.938,1,"The Sixth Carbon Budget report sets out the UK's pathway to reach #NetZero. Great to see low-cost #offshorewind at heart of the CCC recommendations, as well as the need to ramp up innovative technologies like renewable hydrogen to assist a clean energy transition... https://t.co/ldP9hkjAby",1,1,1,1
OrstedUK,14921,4,12,0.938,1,"Thinking of joining the squad? You'll be in good company... In 2018/19, there were 742,400 people participating in an apprenticeship in England <U+0001F62E><U+0001F64C> Apprenticeships are a great way to gain hands-on experience and kick start a great new career #NAW2021 #apprenticeships #SquadGoals https://t.co/O4S2DulH99",0,,0,
Climeworks,8337,8,16,0.949,1,"This year 2'111 #pioneers joined us on our way to a #climatepositive world by removing CO2 from the air. We thank everyone for the amazing support. If you'd like to inspire more to join and take #ClimateAction, check out our #ChristmasGift subscriptions: https://t.co/pMmvUlOFf8 https://t.co/fbWIyXfRjC",1,1,1,1
Canadian_Solar,22445,5,13,0.958,1,"This year, more than ever, we give thanks for our customers, partners, and colleagues who #MaketheDifference. From all of us at Canadian Solar, we wish you a happy and healthy holiday season and a new year 2021 filled with promise and hope.

https://t.co/OSmANI24Gd https://t.co/vTxibBnM0O",0,,0,
JoyceMsuya,21141,126,279,0.94,1,"To all women and girls leading innovation in science, we celebrate you. 

And to those that dare to dream big, may #WomenInSTEM be a source of inspiration to create a better world. 
#WomenInScience https://t.co/CjaL2MKsHd",0,,0,
PEspinosaC,108140,22,111,0.943,1,"Today was the closing of the #ClimateDialogues. 
I wish to thank all of those who attended those inspiring dialogues in the last 10 days, and for making them a success. I also congratulate the SB Chairs for ensuring everyone has a voice and the #climatechange agenda continues. https://t.co/zXTqlzll1G",1,1,1,1
Seeo2E,25,2,3,0.954,1,"Very proud of Elena Sanchez for winning this award! Congrats! Some of her work included fundamental studies on @Seeo2E core technology  

Cheers to succesful international collaborations. @Prado_Gonjal @SocEspCeramVidr https://t.co/9MupJR3o0f",0,,1,1
Mirrecogroup,226,4,5,0.947,1,"Very proud to announce that weâ€™ve registered interest in the $100m Carbon Removal Prize Purse backed by @elonmusk aimed at tackling the greatest challenge the world has ever faced

https://t.co/ge77A2o5Cw

#renewables #sustainability #environment #technology #energy #future #hemp",1,1,,
PEspinosaC,108140,6,27,0.959,1,"Was a pleasure to join the #UNGA side event on #LandDegradation, #ClimateChange and #SDG, co-organized by @commonwealthsec &amp; @UNCCD. 
Congrats @PScotlandCSG @ibrahimthiaw for this great collaboration! This is key to build a clean, green, healthy and sustainable world for all. https://t.co/voZB6f0yio",1,1,1,1
CmccClimate,3977,0,0,0.952,1,"We're hiring  3<U+FE0F><U+20E3>  (yes, 3!!) talented, motivated and proactive #Ocean #Modellers to support the research and the ocean forecasting service improvement activities.
Deadline: March 07, 2021

https://t.co/ooBJCl7bWB https://t.co/UPdGokH9ED",0,,0,
AldersgateGrp,5486,0,1,0.935,1,"We outlined our thoughts on the #DasguptaReview and the importance of a #naturepositive economy here, calling for new measurements of economic success beyond GDP that prioritise natural capital and work hand in hand with efforts to reach net zero: https://t.co/i0JwDzOZm7 https://t.co/Nfggg1yYsN",1,1,1,1
CBI_CC,13310,3,7,0.96,1,"We welcome todayâ€™s launch of the Green Homes Grant, which will provide homeowners and landlords with the ability to invest in energy efficiency in their homes through vouchers worth up to Â£5,000. This will help households save up to Â£600 a year on their energy bills. https://t.co/K4SsAbT2S2",1,1,,
CarbonEngineer,6339,2,26,0.968,1,Weâ€™re excited to join the 40 companies launching the Business Coalition for a Clean Economy! We're going to need strong collaboration across industries and sectors if we hope to champion bold #climate action and tackle the climate and energy challenge. Count us in! https://t.co/n09CEcFycA,1,1,,
CarbonEngineer,6339,3,8,0.935,1,"Weâ€™re excited to share that CE has been chosen as a sustainability partner for @Virginâ€™s new rewards club, @VirginRed, and in a world first for a loyalty programme, members can spend their Virgin Points to support our #carbonremoval solution. Learn more: https://t.co/NsBNz4ZXeu",1,1,,
AldersgateGrp,5486,1,1,0.945,1,"Welcome to see commitment from @NatInfraCom to place #environmental net gain at heart of new natural capital principles, which will inform future #infrastructure schemes. Important that major developments make positive contributions to our environment https://t.co/r6FItdjhop",1,1,1,1
ClimateChangeUS,18191,0,1,0.944,1,"What might the world look like after we solve #climate change? Better lives in comfy homes, cleaner energy, and more efficient food production. Happy #EarthDay! https://t.co/0PMVTxAnBV",1,1,1,1
PEspinosaC,108140,62,192,0.935,1,"When humanity works together, there is no challenge we cannot overcome. Let 2021 be the year of hope. 

I wish you a peaceful season, good health and a happy new year. https://t.co/GN2HNZhRXA",0,,0,
WILDfoundation,10616,0,0,0.939,1,"When you support WILD you help people like Anna protect nature. This December, give a gift to our wild planet and the people who care for her.
<U+0001F449><U+0001F30E><U+0001F3D4><U+FE0F> https://t.co/fvDz5Ph4ZU https://t.co/LT2gNF80Ya",1,1,1,1
WILDfoundation,10616,0,2,0.936,1,"WILD works around the world to help program leaders create success stories for their communities. When you support WILD, you support life giving initiatives for people and nature. 
Donate<U+0001F449>https://t.co/fvDz5Ph4ZU https://t.co/jvgyFFNq2e",0,,1,1
FirstSolar,30923,1,7,0.949,1,"Wishes for a happy holiday season to all! Over the next few weeks, we will be sharing some of our most popular posts from 2020. Grab a cup of joe and enjoy the read! #Incaseyoumissedit https://t.co/QLP80wzqwy",0,,0,
CarbonEngineer,6339,3,22,0.961,1,"Wishing a wonderful and safe holiday season to our supporters, partners and all those who share our vision. We're looking ahead to a bright 2020! https://t.co/wlVSqgtBc4",0,,0,1
JoyceMsuya,21141,53,145,0.949,1,"Youth are critical in taking care of our planet <U+0001F30D>

And their push for a better shared future can inspire people of all ages to take action.

The #GEO6Youth report from @UNEP shares information to empower young people to spark positive change: https://t.co/Q3GW3fRlcl https://t.co/SsozuLhUjH",1,1,1,1