"created_at","screen_name","followers_count","retweet_count","text"
2019-12-15 18:56:38,"xiyebastida",17397,31,"5.3) Youth came together to show international unity towards climate justice. We are the decision makers of tomorrow https://t.co/RFugvFa3it"
2020-12-02 16:52:27,"IPCC_CH",234385,10,"A special issue of the 2020 #ProductionGap Report looks at the implications of the #COVID19 pandemic – and governments’ stimulus and recovery measures – on coal, oil, and gas production. https://t.co/Ga9D8dBG1N"
2021-02-04 01:26:28,"AlexandriaV2005",56334,8113,"So Twitter being the mess it is right now with #GretaThunbergExposed and #IndiaAgainstPropaganda, and the India activists going dark, i guess the 15 year old in the U.S. has to explain the #FarmersProtest to y'all, so let me do that.
basically, first 3 farm bills were passed. 1/6"
2021-02-25 11:16:32,"guardianeco",496498,20,"Cumbrian campaigners warn minister of legal action over coalmine https://t.co/8qi3WFxjTx"
2021-02-01 20:50:04,"FirstSolar",30923,0,"WEBINAR: The Technical University of Denmark performed a year long study of bifacial and monofacial performance using eight different simulation softwares. Join Nicholas Riedel - Fotonik - for a review of how PlantPredict measured up. Register now!
https://t.co/PkWnIjsO3v https://t.co/rZgWF2G8Tu"
2021-02-08 16:24:00,"IPCC_CH",234385,50,"Uttarakhand glacier burst – why it burst is still yet to be determined.

Findings from #IPCC’s #SROCC released in 2019 - Glacier retreat &amp; permafrost thaw have decreased the stability of mountain slopes &amp; the integrity of infrastructure.

Read more <U+27A1><U+FE0F>  https://t.co/11CsoxzGmE https://t.co/i4b25p3ebm"
2021-02-23 17:00:21,"YaleClimateComm",68310,3,"Blackouts in #Texas and California have demonstrated the vulnerability of power plants to extreme temperatures, as well as both the urgency and challenges of modernizing the U.S. electric system to run on #zeroemission technologies by 2035: https://t.co/54tyR8VkSf via @nytimes https://t.co/Gufxmv1Anr"
2021-02-19 16:47:32,"guardianeco",496498,40,"US rejoins Paris climate accord with warning: this year’s talks are ‘last, best hope’ https://t.co/iH5BZcpGQK"
2021-02-15 23:21:47,"Canadian_Solar",22445,6,"We highly regard customer satisfaction and are proud of the relationships we have built and continue to maintain. Watch below to hear from some of our clients about why they continue to choose and promote our products. 

#Australia #SolarPower #SolarIndustry https://t.co/2a1kuboYf0"
2020-11-19 19:24:40,"UNEP_Europe",23082,68,".@UN Secretary-General @antonioguterres calls on the #EU to continue to lead by example on #climatechange. 

“We applaud the EU’s climate achievements, but we are still nowhere near the finish line.“ 
#ECFREvents @EU_ENV @EUClimateaction @eu_eeas 

<U+0001F449>https://t.co/9PfE4pIaGQ"
2021-01-07 14:00:01,"c40cities",106474,9,"“In this unprecedented moment in human history, we know that we must act without hesitation to save our planet and create a more equitable, prosperous, and healthy future for our children and grandchildren.”

Read C40's new Leadership Standards. https://t.co/L6JhP2pjWq https://t.co/GSlfReA9tA"
2021-02-03 19:02:17,"PEspinosaC",108140,7,"2<U+20E3> It’s time to wrap it up and implement.
It’s time to wrap up outstanding items &amp; negotiations and implement the #ParisAgreement. We’ve been 5 years negotiating. The clock has run out.
Unleashing its full potential will also help the world build forward from COVID-19."
2021-02-17 15:15:05,"IEA",197182,2,"<U+0001F5E3> “Energy efficiency can ensure China’s sustainable prosperity for the next ten years and beyond.”

This new commentary from IEA’s Jihyun Selena Lee explores the role #EnergyEfficiency could play in <U+0001F1E8><U+0001F1F3>’s sustainable recovery <U+0001F449> https://t.co/DMpb43Xmpp https://t.co/LzU41RdBO4"
2021-01-20 16:59:18,"GermanEnvAgency",1470,19,"Make Our Planet Great Again. https://t.co/Dkw77Yve0w"
2020-09-02 12:30:51,"OrstedUK",14921,2,"Join us @ITMPowerPlc @Phillips66Co @beisgovuk &amp; Element Energy on September 9th as we take a dive into the #gigastack renewable hydrogen project - places are limited so secure your place ASAP! #WednesdayWisdom See below for eventbrite link! <U+0001F64C><U+0001F44D> https://t.co/LzFLK6ee9X"
2019-12-20 06:55:27,"Mirrecogroup",226,2,"An estimated 3 years to scaled reality in 3D-printed #hemp houses 

Lumecast® by MIRRECO™ 

@TheExtractUK 

#sustainability #netzero  #climatechange #innovation #technology #iot #blockchain #greentech #oneplanet #lumecast #mirreco #futurism #3Dprinting 

https://t.co/9HYDqNV8ss"
2021-02-19 12:06:57,"EUEnvironment",88010,23,"How much did #urban areas grow in your country since 2000? What about the area used for #agriculture? Or #forests? Check out our interactive country fact sheets on land cover. #exploreEEAdata<U+200B>

https://t.co/sTN5SN5MOU https://t.co/VYJWwFMLk7"
2019-12-13 16:07:45,"algore",3057070,43,"Innovative &amp; courageous leadership by @hiromichimizuno on behalf of Japan's public pension fund. Sustainable capitalism, via long term investing, is essential to make needed economic repairs &amp; reforms for a holistic rethinking of how we do business &amp; rescue our climate balance. https://t.co/qGSe16E01N"
2020-11-18 07:18:51,"GermanEnvAgency",1470,6,"Tomorrow, 9.45am (CET): #Sustainability Transformation Conference by @bmu &amp; UBA. The digital #conference will focus on the #transformation of #economy &amp; #society to shape a #sustainable future. The event will be hosted by @SvenjaSchulze68 &amp; @DirkMessner. https://t.co/pByBFs4eOM https://t.co/WhifovP6Pp"
2021-01-20 23:01:02,"exxonmobil",326103,59,"“The long-term nature of the climate change challenge requires that we all work together, and we look forward to working with the new Administration to put the U.S. on a path of achieving the goals of Paris.” Read more here: https://t.co/KpHCIMzs6T #ParisAgreement https://t.co/4pi3t4KxeO"
2021-01-25 15:04:10,"AldersgateGrp",5486,0,"Join us tomorrow at 9.30am for a webinar on how the UK can deliver the investment challenge of the 6th Carbon Budget, with speakers from @theCCCuk @LGIM @SPRenewables @ramboll_uk @tesco @TataSteelUK and @WoodlandTrust #NetZero Register here: https://t.co/c6xhP8ktw4 https://t.co/guzq0NWitR"
2021-02-28 01:40:00,"insideclimate",132424,4,"During the first week of February, avalanches killed 14 people across the United States, the highest weekly avalanche death toll in more than 100 years. Researchers worry that climate change could be increasing avalanche threats in some regions.

https://t.co/w1r7j9iQMb"
2020-07-08 22:40:40,"CarbonEngineer",6339,5,"A great write up on our new partnership with @AerionCorp by @jtemple for @techreview https://t.co/nLAHVcmBRj"
2020-12-04 12:38:00,"ClimateCentral",127361,9,"""The planet needs to go on a carbon diet."" https://t.co/x0bhQKdiZF #ClimateMatters #ClimateCentral https://t.co/cfyB3qHyFX"
2019-05-21 20:26:40,"CarbonEngineer",6339,0,"Thanks for sharing this story @andrew_leach. It's great to hear that our work can play a part in inspiring the world's next generation, and can help bring #DirectAirCapture to life for them. https://t.co/XBLuQtMdXT"
2021-02-26 19:38:32,"sunrisemvmt",278145,50,"Young people are fed up with a government that refuses to act aggressively in the face of crisis, whether it's a pandemic, a recession, or climate change.

We're fighting for a better vision of governance: where politicians answer first to people's needs.

https://t.co/hSktCoXKZO"
2021-01-14 11:11:57,"Green_Europe",32632,11,"Portugal kicked off its <U+0001F1EA><U+0001F1FA> Presidency with a clear call to action: “Time to deliver a green recovery.”

Check out our 10 green tests for <U+0001F1F5><U+0001F1F9> @2021PortugalEU and our assessment of <U+0001F1E9><U+0001F1EA> @eu2020de's legacy <U+0001F447>
https://t.co/Wa9qr0s8ah"
2020-11-16 16:24:00,"ClimateDesk",159824,0,"Macron and Johnson put climate at top of issues to confront together, as experts say window is still open to fulfill goals of Paris deal. https://t.co/UOkJ77E3ir"
2021-02-18 23:06:00,"ClimateNexus",28732,1,"In a letter sent yesterday to Gov. Cuomo, a coalition estimated that Part R would allow for so many renewable energy credits that building owners could meet their emissions targets until at least 2030 without making any building upgrades. https://t.co/2w3ZZWODjR via @nysfocus"
2020-11-24 04:11:00,"ClimateDesk",159824,5,"The administration is undercutting a major public lands law that the president used to greenwash his abysmal conservation record. https://t.co/mmNQu0yWH5"
2020-12-23 10:56:29,"IPCC_CH",234385,2,"<U+0001F50E>  Looking for the list of authors in a Special Report?

<U+27A1><U+FE0F>  Go to https://t.co/HBp6el5LEt 

<U+27A1><U+FE0F>  Reports/Choose a report/About/Authors and Review Editors

https://t.co/iL7fiElncT https://t.co/rAUi3vWOlp"
2020-10-30 15:11:05,"Shell",553814,1,"@DHenschen <U+0001F916> Amazing news! The team are recognised for the innovative application of disruptive technology through leveraging big data and predictive analytics to make informed business decisions. #SuperNova2020 @constellationr"
2021-02-18 01:30:10,"ErikSolheim",145787,123,"Electric mobility is taking off in India <U+0001F1EE><U+0001F1F3>!
Delhi just started demarcating the first of the 100 charging sites  - this one at Mundka metro station. They will contain 500 electric charging points.

@Jasmine441 @SwitchDelhi https://t.co/qZ9FbKhO1x"
2018-01-04 14:58:32,"ClimateChangeUS",18191,1,"Walk the walk. Waste not. Measure up. Three New Year's resolutions to help solve #climate change. https://t.co/mZXQwaCCjH"
2021-02-26 13:27:24,"Fridays4future",99246,6,"@VSinkevicius, #EUMercosur increases forest destruction, monocultures, pesticides, cars, human rights abuse and stands in  direct opposition to the goals of the Green New Deal. Take a   stand: profits for a few or a future for all of us? #SayNoEUMercosur"
2021-02-28 20:24:30,"nytclimate",101711,14,"Cars of any kind -- including those powered  by electricity --- are vehicula non grata in this German city.
https://t.co/uSY9WPZcrB"
2020-09-04 13:00:53,"Shell",553814,14,"<U+0001F3ED> We are installing new furnaces at @Shell_Moerdijk in the Netherlands to help improve energy efficiency and reduce emissions at the plant. https://t.co/JQdUs7VDpy

Follow the thread to find out more <U+2B07><U+FE0F> (1/5) https://t.co/SYe1dIblTe"
2020-09-25 12:40:03,"Canadian_Solar",22445,1,"The Gull Bay First Nation in Ontario Canada depended on diesel generators to power their community. Now they have Canada’s first fully integrated solar micro grid, featuring Canadian Solar modules.  
#MaketheDifference
#microgrid
#Canada
#FirstNation
https://t.co/OXLtJqKX38"
2018-11-09 10:55:20,"DeepBranchBio",498,0,"<U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525> https://t.co/i0Yq0BZ3oq"
2020-06-30 08:27:32,"GermanEnvAgency",1470,3,"Our exhibition ""From #Science to #Policy"" would actually just take place at @Europarl_EN. Because of #Corona, we decided to have a #digital #exhibition, with info on our work (for example on substances &amp; their impact on #environment &amp; #health). https://t.co/Av1XwZ9mGL https://t.co/0eS9Yn1PPg"
2020-11-17 13:15:16,"World_Wildlife",1480167,11,"Calling all teachers and students! Join us for a virtual chat with environmentalist @pcousteau and WWF’s Kristy Bly as they discuss black-footed ferret conservation this Thursday, 11/19 at 2pm ET. Register now. https://t.co/rhnISzHP7k"
2021-02-23 02:55:01,"ClimateReality",548045,46,"This gives us #ClimateHope! https://t.co/2rHcOOqES0"
2021-02-21 19:44:59,"ClimateNexus",28732,0,".@RachelCleetus: In a year where the COVID-19 pandemic and resulting economic crisis is causing devastation around the world, our climate ambitions must be tied to delivering immediate benefits to people in need. https://t.co/eMmo2xLALA via @ucsusa"
2021-02-28 03:30:07,"YaleE360",132499,26,"The social cost of extracting carbon in Area 1002 in Alaska may be exacerbated if seismic activities risk the release of permafrost-carbon as methane by altering caribou movement and grazing. 
https://t.co/2WlsEI9Z39"
2021-02-12 17:01:23,"World_Wildlife",1480167,28,"What wild place in the world do you love? #WhyILoveNature https://t.co/REd8SmIivh"
2020-11-12 08:59:14,"theGCF",49684,0,"@FinanceinCommon is holding the 1st summit for the world's 450 public development banks. Join GCF's @_Javier_Manza today at 10:15 CET to discuss the critical role PDBs play in financing a green, climate-resilient recovery from #COVID19 <U+0001F30F>
Watch live now <U+23E9> https://t.co/gzlC1HZlSl https://t.co/LZQMAG4M1V"
2017-03-21 07:49:36,"voice4theplanet",228,1,"Another abuse of our beautiful planet. For what?! We need to see our individual prt in this as consumers and responsible adults. #SDGs https://t.co/TuQDLBffph"
2021-02-17 17:38:47,"sunrisemvmt",278145,185,"“Critics” are “correct”

Do better @washingtonpost https://t.co/cGbdrmUnK6"
2020-11-12 12:05:00,"ClimateDesk",159824,2,"They will cheer you up. https://t.co/6Une7E5lpF"
2020-04-09 16:25:59,"exxonmobil",326103,13,"We’re testing new technologies that reduce methane emissions. Learn more about our work across 1,000 sites: https://t.co/O1YCSzFqxu https://t.co/GvAJIcoEy6"
2021-02-22 18:20:40,"ScarlettOWest",5074,0,"@abi_victoriab happy birthday lovely !! xx"
2021-02-28 20:40:58,"ClimateBen",56386,219,"scientists: primates are being driven to extinction by market demands leading to massive habitat loss through expanding industrial agriculture, large-scale cattle ranching, logging, drilling, mining, dam building, &amp; road construction

media: let's keep this fine economic system"
2021-02-12 06:41:59,"ExtinctionR",358387,7,"You can never get enough history. https://t.co/uSCJglwTV8"
2021-02-27 17:55:37,"ClimateBen",56386,28,"Habitat destruction, chemical/plastic/light/noise pollution, etc not just CC are key causes of species declines/extinctions &amp; ecosystem damage. Deforestation must be stopped immediately.

CC is now combining with these to further threaten biodiversity. 
https://t.co/bLCSdnNAHp"
2020-06-29 08:24:23,"GermanEnvAgency",1470,7,"Our exhibition ""From #Science to #Policy"" was due to open today in @Europarl_EN in #Brussels. Due to the pandemic, the exhibition now takes place digitally. UBA President @DirkMessner invites you to take a virtual tour and meet our experts: https://t.co/0Jf3SHyQGt #EuropeanUnion"
2020-07-30 16:10:01,"Shell",553814,0,"@MuhammadAnasUl1 <U+0001F410> <U+0001F6BF> <U+0001F609>"
2020-12-11 18:02:47,"PEspinosaC",108140,13,"Congratulations to all the winners of the @UN Global #ClimateAction Awards! 

I am very happy to share these innovative, scalable &amp; practical initiatives from around the world. These awards recognise you as beacons guiding us towards a better future.

https://t.co/CSFBdOtGgL https://t.co/odvzrm51tE"
2021-02-23 17:05:13,"UNDPClimate",37098,47,"We have 10 years to act on #ClimateCrisis and avoid catastrophic consequences. We must get everyone involved.

That's why as @UNDP, we joined @WeDontHaveTime - the world's largest social network for sharing #ClimateAction and solutions. You can join too: https://t.co/gdOa1jqEqY https://t.co/dmCRLGLyOY"
2021-02-09 14:45:39,"UNFCCC",786735,38,"#ItsPossible: The African Development Bank is providing financial support to help West African countries achieve carbon emission reductions and meet their climate action goals under the Paris Agreement. 

More from @AfDB_Group: https://t.co/TRFt8w7Owj https://t.co/lMnYfoHQnj"
2021-02-27 17:13:00,"ClimateNexus",28732,0,"Millions of people in the US are drinking water that fails to meet federal health standards, including by violating limits for dangerous contaminants, and Latinos are disproportionately exposed. https://t.co/tVONHTOt2m via @guardian"
2021-02-20 23:00:55,"sunrisemvmt",278145,121,"Thank you @AOC for joining our relief efforts in Texas.

Real leadership. https://t.co/MrKqznmigo"
2021-02-22 14:05:05,"WRIClimate",56751,12,"""People in the US are seeing the hurricanes, they're seeing the fires, they're seeing the droughts, and they know that something needs to be done,"" said @davidwaskow on the U.S. moving strongly on #climateaction. https://t.co/O8hmvUbYcb #ParisAgreement #AmericaIsAllIn"
2020-08-14 02:10:11,"Canadian_Solar",22445,0,"Congress has thus far failed to extend the ITC. Our Manager of Policy &amp; Government Affairs will go through the latest news and show how this impacts safe harbor strategies in the US. Register to join us August 19. 11AM PDT. https://t.co/qHmHnTnOrc
#USA
#makethedifference https://t.co/2V9pqLvMg5"
2020-02-07 21:57:26,"xiyebastida",17397,62,"City Hall Climate Strike! We are super excited because @NYCMayor announced that NYC will ban ALL future fossil fuel infrastructure!!

Activism brings results and we’re not done <U+0001F30D><U+2764><U+FE0F> https://t.co/nXTDXMiylm"
2021-01-25 13:49:39,"theGCF",49684,33,"At #AdaptationSummit, UNSG @antonioguterres calls for greater share of climate funding for #adaptation. Read how GCF balances its $7B portfolio equally between adaptation and mitigation, with most of our adaptation finance going to LDCs, SIDS, &amp; Africa <U+27A1><U+FE0F> https://t.co/6NShsHFvRI https://t.co/RGWPMJ1mbO"
2020-09-08 10:30:40,"OrstedUK",14921,4,"Fantastic opportunity for the UK to become a world leader in #Renewable #Hydrogen thanks to the #offshorewind success story so far! Don't forget we have a special webinar tomorrow showcasing our Gigastack project - places are limited sign up here https://t.co/goIwjxzgDb https://t.co/od5pixpAnm"
2020-10-01 14:59:56,"theCCCuk",48148,24,"To reach #NetZero in the UK, it will take the Government and public bodies like the NHS to help lead the way. In what is an extremely difficult time, it is commendable that the NHS has set out its path to be a resilient Net Zero organisation. https://t.co/5tXc2j9v64 https://t.co/HZM03NujC3"
2020-12-17 11:29:50,"theCCCuk",48148,0,"This represents Wales’ fair and credible contribution to the UK’s Net Zero goal. Our recommended targets for Wales would achieve nearly two-thirds of the required emissions reduction from 2020 to 2050 in the next 15 years. (3/12) https://t.co/M4R6XHQdRE"
2021-01-22 02:54:25,"Mirrecogroup",226,2,"Reducing #co2 #emissions is one of the Grand Challenges of the 21st century.

We're grateful to @createimpact21 
for acknowledging our position at the forefront of developmental technologies in this space.

#sustainability #environment #hemp #energy #technology #climate #future https://t.co/ucVwv6d8VU"
2020-01-07 22:12:49,"xiyebastida",17397,34,"Why does it seem like women are leading the climate movement? 

Women who have taken it as a path to act, are— and men, well, they are mostly judging women’s work, knowledge, and experience

We can’t loose time fighting over facts. Instead we must act, educate, and mitigate https://t.co/dbK3kjdhV3"
2020-11-19 17:45:37,"CarbonEngineer",6339,2,"Watch Carbon Engineering’s VP Business Development, Lori Guetre, at @CERAWeek as she discusses the key role #DirectAirCapture can play in helping the world achieve true net zero. https://t.co/Baz0AHYGGq"
2021-02-26 14:02:15,"CmccClimate",3977,1,"Climate impacts can affect companies  through their supply chains, which might be interrupted by extreme events damaging suppliers and cause cascade effects, even when they are settled in different countries and contexts of the world.
#CMCCForesight 
https://t.co/TjEDpUE3ej https://t.co/T30veiYgYD"
2021-02-12 14:54:22,"Green_Europe",32632,8,"<U+0001F6A8><U+0001F632>BREAKING: Fossil gas projects have just been included in guidelines for the EU's recovery plans.

Gas is not a ‘bridge fuel’, @EU_Commission. It’s a stranded asset and a climate disaster.

<U+0001F449>https://t.co/FY4TcI6bqE #ClimateAction"
2017-02-23 05:51:54,"voice4theplanet",228,0,"@ayanaeliza #TEDtalk on #OceanZoning is def worth a listen. It's painful fact. #TheOceanDontNeedUs #WeNeedTheOcean https://t.co/3JWSZyQDId"
2021-02-15 13:33:33,"JoyceMsuya",21141,3,"Kikao cha #UNEA5 kitakachojiri kuanzia Februari 22 hadi 23, 2021, kitaimarisha juhudi za kushughulikia mazingira kweye muktadha wa maendeleo endelevu, na kutoa kipaumbele kwa utekelezaji wake kikamilifu. #TutunzeMazingira #SDGs https://t.co/ZdSlvE4n98 https://t.co/9dciQnHQlA"
2020-10-21 10:30:00,"UNEP_Europe",23082,1,"As we build back greener from #COVID-19, governments have a unique opportunity to support #nature from farm to fork. #EUGreenWeek https://t.co/EGh15KKFMz"
2020-12-11 11:16:01,"UNEP_Europe",23082,4,"Congratulations to the #EU<U+0001F1EA><U+0001F1FA> for this important step on the eve of the #ParisAgreement's fifth anniversary!

Leadership from the bloc on #climatechange is essential if we are to reach the 2°C target<U+0001F4AA><U+0001F30D>. https://t.co/FWNxIwFJP6"
2020-12-11 15:31:11,"WILDfoundation",10616,0,"Thank you to everyone who supports WILD and conservation. Protecting the planet doesn't happen without people like you!<U+0001F30E><U+0001F3D4><U+0001F43A><U+0001F41D><U+0001F427><U+0001F333><U+0001F332><U+0001F33A><U+0001F335><U+0001F43F><U+0001F994><U+0001F9A1><U+0001F407>
#GoodNewsFriday #conservationwin https://t.co/wj0VDZrRxM"
2021-01-18 02:56:24,"AlexandriaV2005",56334,0,"@sopranotiara @American_Girl Yes! <U+2764><U+2764><U+2764>"
2020-12-07 12:15:12,"IPCC_CH",234385,12,"#IPCC Chair Hoesung Lee will make a statement along with UNSG @antonioguterres &amp; other world leaders for the Climate Ambition Summit 2020 this coming Saturday 12 December.

#ClimateChange #ClimateAction https://t.co/w6Ii80J7a6"
2021-02-27 15:19:10,"ScarlettOWest",5074,0,"@_evebennett that’s a really valid worry, but all forms of media are valuable! i’m sure the articles you have written are incredible, and i know the saying is overused but it’s definitely quality over quantity. it’s really good that you’re getting experience in different media types"
2020-12-16 23:07:13,"ChiefExecCCC",19501,0,"@JMckenzie150 Genuinely see the attraction of that."
2020-12-21 11:00:57,"c40cities",106474,6,"Stockholm’s climate action plan lays out ambitious emission reduction targets, with the goal of becoming carbon neutral by 2040 <U+0001F64C> #TheFutureWeWant

@SthlmMayor https://t.co/1LJEuygHeY"
2021-02-11 00:06:01,"ExtinctionR",358387,5,"@Petronas <U+0001F914> https://t.co/6C0dq8m2O4"
2020-12-11 09:13:06,"GermanEnvAgency",1470,1,"Save the date: As part of the German #EU Council Presidency, @bmu &amp; UBA will host a virtual #conference on #corporate non-financial reporting on December 18. 
https://t.co/ieaEQ9Bh11 #finance #business #environment @EU2020DE https://t.co/7wDmQnqVf6"
2021-02-26 16:11:00,"ClimatePower",232006,12,"NEW ANALYSIS finds ""impressive overlap” between fossil fuel hubs and counties with high renewable energy potential.

Building a clean energy economy means creating millions of good-paying, union jobs—especially in counties suffering from Big Oil’s decline.
https://t.co/dcZlUwWn6w"
2019-12-06 16:37:53,"exxonmobil",326103,11,"Red, blue, pink – the color of grease doesn’t change its performance. Dyes are added simply to help distinguish one product from another. Learn more surprising facts here. https://t.co/Qc6gRxkXzl https://t.co/oL73OS6gdV"
2020-07-16 18:39:31,"PEspinosaC",108140,47,"I applaud @algore Al Gore's leadership in launching @ClimateTRACE, a tool using ‘frontier technologies’ to track GHG emissions in real-time. Such systems are key to improving our understanding of emissions and the carbon cycle, crucial for a transition to #CarbonNeutrality."
2020-12-22 11:00:14,"c40cities",106474,4,"Rotterdam’s climate action plan commits to a more sustainable future for the city’s port industry <U+0001F6A2> #TheFutureWeWant

@rotterdam https://t.co/dyubsrivKD"
2020-10-23 08:11:00,"UNEP_Europe",23082,0,"How can #nature help us to build resilience against disasters and #climatechange? Whether you are a policymaker, business, engineer, or simply curious, join this free course available in 7 languages! https://t.co/6ThDi9JxAQ"
2020-11-28 14:21:00,"ClimateDesk",159824,0,"Spent rockets are dangerous space trash, but they could be the future of living and working in orbit. https://t.co/o7bhLxrVIN"
2021-03-01 20:46:23,"ClimateBen",56386,0,"@DavidLWindt This quote was brought to you by (of course) Hausfather."
2021-02-24 16:02:50,"CmccClimate",3977,0,"In Europe, around 30% of the 880 billion USD COVID recovery plan is being tied to climate measures. 
Energy Market and Strategies: a New Paradigm on #CMCCForesight
https://t.co/IKWmUMIkIg https://t.co/C6cAdbvBVD"
2020-10-22 20:37:12,"algore",3057070,27,"I am now live, sharing a meal with @carlahall and Jayna Green, the winner of the 2020 @4h Youth In Action Pillar Award for Agriculture. We are going to discuss why food justice matters at this important time. Tune in here: https://t.co/579sW5yybP https://t.co/zJeBi2bKdr"
2020-07-09 06:00:00,"Shell",553814,15,"<U+0001F916> How clever will #AI become?

<U+0001F3A7> Tech experts from Shell, @Microsoft, @kespry and @imperialcollege join the conversation in the latest episode of The Energy Podcast. Listen now: https://t.co/nWKJYFq4IN #podcast"
2021-02-12 11:00:54,"ExtinctionR",358387,11,"We believe in meeting people where they are, so they can do what they can with whatever they have. 

If you can't donate time or expertise, please consider taking action by donating to support our movement: https://t.co/xRolrRv9Il https://t.co/sQffgbBHGt"
2021-02-24 13:00:57,"WRIClimate",56751,3,"TODAY: Join @WorldResources and @WorldWarZeroOrg at 11AM ET. for a dynamic event discussing what a green and equitable recovery in the U.S. should look like with climate and energy experts. https://t.co/Z3RvLcNDfX #GreenRecovery #BuildBackBetter"
2020-12-02 08:59:52,"JoyceMsuya",21141,8,"This #AdaptationWeek, @UNEP &amp; partners are sharing information on climate adaptation &amp; highlighting the importance of ensuring a #ResilientRecovery.

Supported by @theGEF, this project in El Salvador shows how working with nature can help protect people. https://t.co/Ntah9nh0qK"
2021-02-19 17:05:07,"YaleClimateComm",68310,0,"While six in ten Americans say they “rarely” or “never” discuss global warming with family and friends, a large majority support schools teaching children about it: https://t.co/zob3oCG51P https://t.co/jIBUAzAmI7"
2017-03-01 16:32:37,"voice4theplanet",228,9,"We need your vote. We need #ClimateNews in #Public #Media. Cast ur vote by typing ur name, email and postal code on the link below. Ta! https://t.co/VN3lZhuohs"
